# Samples: 8K of event 'instructions'
# Event count (approx.): 555386358179
#
# Overhead       Samples  Symbol                                        IPC   [IPC Coverage]
# ........  ............  ............................................  ....................
#
     0.00%             5  [k] __x64_sys_clock_nanosleep                 -      -            
     0.00%             5  [k] entry_SYSCALL_64                          -      -            
     0.00%             5  [k] step_into                                 -      -            
     0.00%             4  [k] __update_load_avg_se                      -      -            
     0.00%             4  [k] do_nanosleep                              -      -            
     0.00%             4  [k] exit_to_user_mode_prepare                 -      -            
     0.00%             4  [k] inode_permission                          -      -            
     0.00%             4  [k] _raw_spin_lock                            -      -            
     0.00%             1  [k] down_read                                 -      -            
     0.00%             3  [k] update_dl_rq_load_avg                     -      -            
     0.00%             3  [k] __lookup_mnt                              -      -            
     0.00%             3  [k] check_stack_object                        -      -            
     0.00%             3  [k] kmem_cache_alloc                          -      -            
     0.00%             3  [k] kmem_cache_free                           -      -            
     0.00%             3  [k] native_sched_clock                        -      -            
     0.00%             3  [k] path_init                                 -      -            
     0.00%             3  [k] set_root                                  -      -            
     0.00%             3  [k] switch_fpu_return                         -      -            
     0.00%             3  [k] update_curr                               -      -            
     0.00%             2  [k] __calc_delta                              -      -            
     0.00%             2  [k] __check_object_size                       -      -            
     0.00%             2  [k] __get_user_8                              -      -            
     0.00%             2  [k] __x64_sys_newfstatat                      -      -            
     0.00%             2  [.] check_status_file                         -      -            
     0.00%             2  [k] common_nsleep                             -      -            
     0.00%             2  [k] do_syscall_64                             -      -            
     0.00%             2  [k] lookup_fast                               -      -            
     0.00%             2  [k] memcg_slab_free_hook                      -      -            
     0.00%             2  [k] newidle_balance                           -      -            
     0.00%             2  [k] path_lookupat                             -      -            
     0.00%             2  [k] reweight_entity                           -      -            
     0.00%             2  [.] stat64                                    -      -            
     0.00%             2  [k] timerqueue_add                            -      -            
     0.00%             2  [k] update_rq_clock                           -      -            
     0.00%             2  [k] update_sd_lb_stats.constprop.0            -      -            
     0.00%             2  [.] 0x0000000000076db1                        -      -            
     0.00%             2  [.] 0x000000000008850a                        -      -            
     0.00%             2  [.] 0x00000000001b173b                        -      -            
     0.00%             2  [.] 0x00000000001b1970                        -      -            
     0.00%           922  [k] native_write_msr                          -      -            
     0.00%             1  [k] __cgroup_account_cputime                  -      -            
     0.00%             1  [k] __do_sys_newfstatat                       -      -            
     0.00%             1  [k] _copy_from_user                           -      -            
     0.00%             1  [k] _raw_spin_lock_irqsave                    -      -            
     0.00%             1  [k] _raw_spin_unlock_irqrestore               -      -            
     0.00%             1  [k] cpuacct_charge                            -      -            
     0.00%             1  [k] fpregs_assert_state_consistent            -      -            
     0.00%             1  [k] get_nohz_timer_target                     -      -            
     0.00%             1  [k] hrtimer_start_range_ns                    -      -            
     0.00%             1  [k] ktime_get                                 -      -            
     0.00%             1  [k] pick_next_task_fair                       -      -            
     0.00%             1  [k] pick_next_task_idle                       -      -            
     0.00%             1  [k] putname                                   -      -            
     0.00%             1  [k] rb_insert_color                           -      -            
     0.00%             1  [k] read_tsc                                  -      -            
     0.00%             1  [.] reap_threads                              -      -            
     0.00%             1  [.] run_threads                               -      -            
     0.00%             1  [k] slab_free_freelist_hook.constprop.0       -      -            
     0.00%             1  [k] syscall_enter_from_user_mode              -      -            
     0.00%             1  [k] syscall_exit_to_user_mode                 -      -            
     0.00%             1  [k] user_path_at_empty                        -      -            
     0.00%             1  [k] walk_component                            -      -            
     0.00%             1  [.] 0x000000000001bad0                        -      -            
     0.00%             1  [.] 0x000000000001bdb0                        -      -            
     0.00%             1  [.] 0x00000000000751cd                        -      -            
     0.00%             1  [.] 0x00000000000751d6                        -      -            
     0.00%             1  [.] 0x00000000000751f6                        -      -            
     0.00%             1  [.] 0x00000000000757a4                        -      -            
     0.00%             1  [.] 0x0000000000075941                        -      -            
     0.00%             1  [.] 0x0000000000076000                        -      -            
     0.00%             1  [.] 0x000000000007600e                        -      -            
     0.00%             1  [.] 0x0000000000076da9                        -      -            
     0.00%             1  [.] 0x0000000000077060                        -      -            
     0.00%             1  [.] 0x0000000000077095                        -      -            
     0.00%             1  [.] 0x00000000000884e6                        -      -            
     0.00%             1  [.] 0x000000000008e68e                        -      -            
     0.00%             1  [.] 0x000000000008fa30                        -      -            
     0.00%             1  [.] 0x000000000008fa6b                        -      -            
     0.00%             1  [.] 0x000000000008fa7b                        -      -            
     0.00%             1  [.] 0x0000000000090aa7                        -      -            
     0.00%             1  [.] 0x00000000001b1728                        -      -            
     0.00%             1  [.] 0x00000000001b1743                        -      -            
     0.00%             1  [.] 0x00000000001b1960                        -      -            
     0.00%             1  [.] 0x00000000001b2220                        -      -            
     0.00%             1  [.] 0x00000000001b2243                        -      -            
     0.00%             1  [k] __perf_event_task_sched_in                -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
