# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 171843223703
#
# Overhead       Samples  Symbol                                        Source:Line                                                                                  IPC   [IPC Coverage]
# ........  ............  ............................................  ...........................................................................................  ....................
#
     0.20%            14  [.] nvme_pcie_qpair_submit_request            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1624                                   -      -            
     0.20%            14  [.] add_clat_sample                           /home/zebin/fio/stat.c:2845                                                                  -      -            
     0.20%            14  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:834                                    -      -            
     0.20%            14  [.] nvme_pcie_qpair_submit_request            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1648                                   -      -            
     0.20%            14  [.] spdk_fio_getevents                        /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:1128                         -      -            
     0.18%            13  [.] io_u_queued_complete                      /home/zebin/fio/io_u.c:2123                                                                  -      -            
     0.18%            13  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:920                                    -      -            
     0.18%            13  [.] io_completed                              /home/zebin/fio/io_u.c:1961                                                                  -      -            
     0.18%            13  [.] in_ramp_time                              /home/zebin/fio/time.c:104                                                                   -      -            
     0.18%            13  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:703                                          -      -            
     0.18%            13  [.] add_lat_sample                            /home/zebin/fio/stat.c:2843                                                                  -      -            
     0.18%            13  [.] _nvme_qpair_submit_request                /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:1010                                         -      -            
     0.18%            13  [.] utime_since_now                           /home/zebin/fio/gettime.c:464                                                                -      -            
     0.18%            13  [.] in_ramp_time                              /home/zebin/fio/time.c:103                                                                   -      -            
     0.17%            12  [.] ntime_since                               /home/zebin/fio/gettime.c:446                                                                -      -            
     0.17%            12  [.] spdk_fio_completion_cb                    /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:959                          -      -            
     0.17%            12  [.] nvme_pcie_qpair_complete_tracker          /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:719                                    -      -            
     0.17%            12  [.] __get_next_rand_offset.constprop.0        /home/zebin/fio/os/../lib/rand.h:69                                                          -      -            
     0.17%            12  [.] __get_io_u                                /home/zebin/fio/io_u.c:1605                                                                  -      -            
     0.17%            12  [.] nvme_pcie_qpair_submit_request            /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1701                                   -      -            
     0.17%            12  [.] td_io_queue                               /home/zebin/fio/ioengines.c:379                                                              -      -            
     0.16%            11  [.] utime_since_now                           /home/zebin/fio/gettime.c:492                                                                -      -            
     0.16%            11  [.] utime_since                               /home/zebin/fio/gettime.c:465                                                                -      -            
     0.16%            11  [.] nvme_pcie_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_internal.h:291                                  -      -            
     0.16%            11  [.] account_io_completion                     /home/zebin/fio/io_u.c:1886                                                                  -      -            
     0.16%            11  [.] io_u_mark_complete                        /home/zebin/fio/io_u.c:1013                                                                  -      -            
     0.16%            11  [.] io_completed                              /home/zebin/fio/io_u.h:169                                                                   -      -            
     0.14%            10  [.] ramp_time_over                            /home/zebin/fio/time.c:121                                                                   -      -            
     0.14%            10  [.] nvme_pcie_qpair_build_contig_request      /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:1283                                   -      -            
     0.14%            10  [.] put_file_log                              /home/zebin/fio/io_u.c:787                                                                   -      -            
     0.14%            10  [.] log_io_u                                  /home/zebin/fio/iolog.c:43                                                                   -      -            
     0.14%            10  [.] get_next_rand_offset                      /home/zebin/fio/io_u.c:279                                                                   -      -            
     0.14%            10  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:778                                          -      -            
     0.14%            10  [.] io_u_queued_complete                      /home/zebin/fio/io_u.c:2156                                                                  -      -            
     0.13%             9  [.] io_u_queued_complete                      /home/zebin/fio/io_u.c:2153                                                                  -      -            
     0.13%             9  [.] nvme_pcie_qpair_complete_tracker          /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_pcie_common.c:721                                    -      -            
     0.13%             9  [.] td_io_queue                               /home/zebin/fio/ioengines.c:377                                                              -      -            
     0.13%             9  [.] nvme_qpair_resubmit_requests              /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:645                                          -      -            
     0.13%             9  [.] get_io_u                                  /home/zebin/fio/io_u.c:1805                                                                  -      -            
     0.13%             9  [.] td_io_queue                               /home/zebin/fio/ioengines.c:327                                                              -      -            
     0.13%             9  [.] io_u_mark_complete                        /home/zebin/fio/io_u.c:1001                                                                  -      -            
     0.13%             9  [.] __get_next_rand_offset.constprop.0        /home/zebin/fio/io_u.c:132                                                                   -      -            
     0.13%             9  [.] spdk_nvme_qpair_process_completions       /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_qpair.c:708                                          -      -            
     0.13%             9  [.] get_next_rand_block                       /home/zebin/fio/io_u.c:328                                                                   -      -            
     0.13%             9  [.] get_next_rand_offset                      /home/zebin/fio/io_u.c:301                                                                   -      -            
     0.13%             9  [.] put_file                                  /home/zebin/fio/filesetup.c:1891                                                             -      -            
     0.13%             9  [.] log_io_u                                  /home/zebin/fio/iolog.c:55                                                                   -      -            
     0.13%             9  [.] queue_full                                /home/zebin/fio/io_u.c:1558                                                                  -      -            
     0.13%             9  [.] io_completed                              /home/zebin/fio/io_u.c:1955                                                                  -      -            
     0.11%             8  [.] td_io_queue                               /home/zebin/fio/ioengines.c:354                                                              -      -            
     0.11%             8  [.] spdk_fio_completion_cb                    /mnt/sdb/zebin/local/spdk/examples/nvme/fio_plugin/fio_plugin.c:937                          -      -            
     0.11%             8  [.] io_u_mark_submit                          /home/zebin/fio/io_u.c:1001                                                                  -      -            
     0.11%             8  [.] fio_gettime                               /home/zebin/fio/gettime.c:234                                                                -      -            
     0.11%             8  [.] __get_next_rand_offset.constprop.0        /home/zebin/fio/os/../lib/rand.h:70                                                          -      -            
     0.11%             8  [.] account_io_completion                     /home/zebin/fio/io_u.c:1914                                                                  -      -            
     0.11%             8  [.] spdk_nvme_ns_cmd_read_with_md             /mnt/sdb/zebin/local/spdk/lib/nvme/nvme_ns_cmd.c:631                                         -      -            
     0.11%             8  [.] 0x0000000000045440                        spdk_nvme[45440]                                                                             -      -            
     0.11%             8  [.] utime_since_now                           /home/zebin/fio/gettime.c:474                                                                -      -            
     0.11%             8  [.] get_io_u                                  /home/zebin/fio/io_u.c:1822                                                                  -      -            
     0.11%             8  [.] fio_gettime                               /home/zebin/fio/gettime.h:36                                                                 -      -            
     0.11%             8  [.] td_io_getevents                           /home/zebin/fio/ioengines.c:285                                                              -      -            
     0.11%             8  [.] get_io_u                                  /home/zebin/fio/io_u.c:1275                                                                  -      -            
     0.11%             8  [.] spdk_vtophys                              /mnt/sdb/zebin/local/spdk/lib/env_dpdk/memory.c:1521                                         -      -            
     0.11%             8  [.] thread_main                               /home/zebin/fio/backend.c:330                                                                -      -            
     0.11%             8  [.] io_u_queued                               /home/zebin/fio/io_u.c:2162                                                                  -      -            
